"Region/Province","Item","Year","Value (Reported value — see source for units)","Source status","Release","Source"
"..2nd District b/","Magnitude of Poor Population Estimate","2012","104495","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..2nd District b/","Magnitude of Poor Population Estimate","2015","137391.5","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Annual Per Capita Poverty Threshold  (in Pesos)","1991","","..","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2006","15698.9546040384","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2009","19227.3091794358","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2012","20343.949591866","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2015","25007","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Poverty Incidence among Population Estimate (%)","1991","","..","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Poverty Incidence among Population Estimate (%)","2006","4.56476","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Poverty Incidence among Population Estimate (%)","2009","4.47388","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Poverty Incidence among Population Estimate (%)","2012","3.83101","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Poverty Incidence among Population Estimate (%)","2015","4.09567","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Coefficient of Variation","1991","","..","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Coefficient of Variation","2006","19.24502","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Coefficient of Variation","2009","25.69251","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Coefficient of Variation","2012","25.89624","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Coefficient of Variation","2015","20.52018","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Magnitude of Poor Population Estimate","1991","","..","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Magnitude of Poor Population Estimate","2006","113009.3","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Magnitude of Poor Population Estimate","2009","113584.7","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Magnitude of Poor Population Estimate","2012","100450.7","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..3rd District b/","Magnitude of Poor Population Estimate","2015","115989.8","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..4th District b/","Annual Per Capita Poverty Threshold  (in Pesos)","1991","","..","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..4th District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2006","15698.9546040384","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..4th District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2009","19227.3091794358","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..4th District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2012","20343.949591866","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..4th District b/","Annual Per Capita Poverty Threshold  (in Pesos)","2015","25007","","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
"..4th District b/","Poverty Incidence among Population Estimate (%)","1991","","..","2026-07-09T11-45-08-76271f5a60e0","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3D/0023C3DP020.px"
